id,category_id,category,question_id,question,type,difficulty,age,players,action
02-01,2,Түргэн хариул,1,"Хайр уу, мөнгө юу?",choice,Easy,18+,2-10,choose
02-02,2,Түргэн хариул,2,"Далай юу, уул уу?",choice,Medium,18+,2-10,choose
02-03,2,Түргэн хариул,3,"Өглөө юу, шөнө юу?",choice,Hard,18+,2-10,choose
02-04,2,Түргэн хариул,4,"Кофе юу, цай юу?",choice,Very Hard,18+,2-10,choose
02-05,2,Түргэн хариул,5,"Хот уу, хөдөө юу?",choice,Extreme,18+,2-10,choose
02-06,2,Түргэн хариул,6,"Нохой юу, муур уу?",choice,Easy,18+,2-10,choose
02-07,2,Түргэн хариул,7,"Кино юу, сериал уу?",choice,Medium,18+,2-10,choose
02-08,2,Түргэн хариул,8,"Зун уу, өвөл үү?",choice,Hard,18+,2-10,choose
02-09,2,Түргэн хариул,9,"Аялал уу, гэртээ амрах уу?",choice,Very Hard,18+,2-10,choose
02-10,2,Түргэн хариул,10,"Call уу, chat уу?",choice,Extreme,18+,2-10,choose
02-11,2,Түргэн хариул,11,"Instagram уу, TikTok уу?",choice,Easy,18+,2-10,choose
02-12,2,Түргэн хариул,12,"Luxury уу, freedom уу?",choice,Medium,18+,2-10,choose
02-13,2,Түргэн хариул,13,"Plan уу, spontaneous уу?",choice,Hard,18+,2-10,choose
02-14,2,Түргэн хариул,14,"Career уу, travel уу?",choice,Very Hard,18+,2-10,choose
02-15,2,Түргэн хариул,15,"Алдар нэр үү, тайван амьдрал уу?",choice,Extreme,18+,2-10,choose
02-16,2,Түргэн хариул,16,"Нэг сайн найз уу, олон танил уу?",choice,Easy,18+,2-10,choose
02-17,2,Түргэн хариул,17,"Шууд үнэн үү, зөөлөн үнэн үү?",choice,Medium,18+,2-10,choose
02-18,2,Түргэн хариул,18,"Өнгөрсөн үү, ирээдүй юу?",choice,Hard,18+,2-10,choose
02-19,2,Түргэн хариул,19,"Мөнгө хадгалах уу, туршлага авах уу?",choice,Very Hard,18+,2-10,choose
02-20,2,Түргэн хариул,20,"Романтик уу, хөгжилтэй хүн үү?",choice,Extreme,18+,2-10,choose
02-21,2,Түргэн хариул,21,"Beach уу, mountains уу?",choice,Easy,18+,2-10,choose
02-22,2,Түргэн хариул,22,"Party уу, chill уу?",choice,Medium,18+,2-10,choose
02-23,2,Түргэн хариул,23,"Өдөр date уу, шөнө date уу?",choice,Hard,18+,2-10,choose
02-24,2,Түргэн хариул,24,"Анхны алхам хийх үү, хүлээх үү?",choice,Very Hard,18+,2-10,choose
02-25,2,Түргэн хариул,25,"Risk уу, safety юу?",choice,Extreme,18+,2-10,choose
02-26,2,Түргэн хариул,26,"Gaming уу, спорт уу?",choice,Easy,18+,2-10,choose
02-27,2,Түргэн хариул,27,"Sweet уу, salty юу?",choice,Medium,18+,2-10,choose
02-28,2,Түргэн хариул,28,"Найз нөхөд үү, ганцаараа байх уу?",choice,Hard,18+,2-10,choose
02-29,2,Түргэн хариул,29,"Төлөвлөгөө юу, аз турших уу?",choice,Very Hard,18+,2-10,choose
02-30,2,Түргэн хариул,30,5 секундэд хариул: өнөөдрийн mood юу вэ?,choice,Extreme,18+,2-10,choose
03-01,3,Хэн бэ?,1,Эндээс хэн хамгийн түрүүнд гэрлэх вэ?,vote,Easy,18+,2-10,vote
03-02,3,Хэн бэ?,2,Эндээс хэн хамгийн их аялал хийх вэ?,vote,Medium,18+,2-10,vote
03-03,3,Хэн бэ?,3,Эндээс хэн хамгийн их мөнгө олох вэ?,vote,Hard,18+,2-10,vote
03-04,3,Хэн бэ?,4,Эндээс хэн хамгийн хөгжилтэй вэ?,vote,Very Hard,18+,2-10,vote
03-05,3,Хэн бэ?,5,Эндээс хэн хамгийн романтик вэ?,vote,Extreme,18+,2-10,vote
03-06,3,Хэн бэ?,6,Эндээс хэн хамгийн их flirt хийх вэ?,vote,Easy,18+,2-10,vote
03-07,3,Хэн бэ?,7,Эндээс хэн хамгийн сайн secret хадгалах вэ?,vote,Medium,18+,2-10,vote
03-08,3,Хэн бэ?,8,Эндээс хэн хамгийн их party хийх вэ?,vote,Hard,18+,2-10,vote
03-09,3,Хэн бэ?,9,Эндээс хэн хамгийн сайн leader болох вэ?,vote,Very Hard,18+,2-10,vote
03-10,3,Хэн бэ?,10,Эндээс хэн хамгийн их selfie авах вэ?,vote,Extreme,18+,2-10,vote
03-11,3,Хэн бэ?,11,Эндээс хэн хамгийн их унтах вэ?,vote,Easy,18+,2-10,vote
03-12,3,Хэн бэ?,12,Эндээс хэн хамгийн их risk авах вэ?,vote,Medium,18+,2-10,vote
03-13,3,Хэн бэ?,13,Эндээс хэн хамгийн сайн business эхлүүлэх вэ?,vote,Hard,18+,2-10,vote
03-14,3,Хэн бэ?,14,Эндээс хэн хамгийн хурдан шинэ хүнтэй найзлах вэ?,vote,Very Hard,18+,2-10,vote
03-15,3,Хэн бэ?,15,Эндээс хэн хамгийн их spontaneous байх вэ?,vote,Extreme,18+,2-10,vote
03-16,3,Хэн бэ?,16,Эндээс хэн хамгийн их jealous болох вэ?,vote,Easy,18+,2-10,vote
03-17,3,Хэн бэ?,17,Эндээс хэн хамгийн сайн date зохион байгуулах вэ?,vote,Medium,18+,2-10,vote
03-18,3,Хэн бэ?,18,Эндээс хэн хамгийн их surprise хийх вэ?,vote,Hard,18+,2-10,vote
03-19,3,Хэн бэ?,19,Эндээс хэн хамгийн сайн advice өгөх вэ?,vote,Very Hard,18+,2-10,vote
03-20,3,Хэн бэ?,20,Эндээс хэн хамгийн их meme явуулах вэ?,vote,Extreme,18+,2-10,vote
03-21,3,Хэн бэ?,21,Эндээс хэн хамгийн түрүүнд гадаадад нүүх вэ?,vote,Easy,18+,2-10,vote
03-22,3,Хэн бэ?,22,Эндээс хэн хамгийн сайн dancer болох вэ?,vote,Medium,18+,2-10,vote
03-23,3,Хэн бэ?,23,Эндээс хэн хамгийн сайн singer болох вэ?,vote,Hard,18+,2-10,vote
03-24,3,Хэн бэ?,24,Эндээс хэн хамгийн сайн actor болох вэ?,vote,Very Hard,18+,2-10,vote
03-25,3,Хэн бэ?,25,Эндээс хэн хамгийн их мөнгө үрэх вэ?,vote,Extreme,18+,2-10,vote
03-26,3,Хэн бэ?,26,Эндээс хэн хамгийн их adventure хийх вэ?,vote,Easy,18+,2-10,vote
03-27,3,Хэн бэ?,27,Эндээс хэн хамгийн memorable хүн болох вэ?,vote,Medium,18+,2-10,vote
03-28,3,Хэн бэ?,28,Эндээс хэн хамгийн тайван байх вэ?,vote,Hard,18+,2-10,vote
03-29,3,Хэн бэ?,29,Эндээс хэн хамгийн их trend дагах вэ?,vote,Very Hard,18+,2-10,vote
03-30,3,Хэн бэ?,30,Эндээс хэн хамгийн сайн team captain болох вэ?,vote,Extreme,18+,2-10,vote
04-01,4,Дуурай,1,Өөрийн хамгийн том мөрөөдлөө хэл.,challenge,Easy,18+,2-10,do
04-02,4,Дуурай,2,Өөрийн нэг green flag-аа хэл.,challenge,Medium,18+,2-10,do
04-03,4,Дуурай,3,Өөрийн нэг red flag-аа хэл.,challenge,Hard,18+,2-10,do
04-04,4,Дуурай,4,Сүүлд хэзээ үнэхээр баярласан бэ?,challenge,Very Hard,18+,2-10,do
04-05,4,Дуурай,5,Хэнээс message ирэхийг хүлээдэг вэ?,challenge,Extreme,18+,2-10,do
04-06,4,Дуурай,6,Perfect weekend-ээ тайлбарла.,challenge,Easy,18+,2-10,do
04-07,4,Дуурай,7,Dream destination-оо хэл.,challenge,Medium,18+,2-10,do
04-08,4,Дуурай,8,Хамгийн их хүндэлдэг чанараа хэл.,challenge,Hard,18+,2-10,do
04-09,4,Дуурай,9,Хамгийн муу зуршлаа хэл.,challenge,Very Hard,18+,2-10,do
04-10,4,Дуурай,10,Хамгийн сайн чанараа хэл.,challenge,Extreme,18+,2-10,do
04-11,4,Дуурай,11,5 жилийн дараах өөрийгөө төсөөл.,challenge,Easy,18+,2-10,do
04-12,4,Дуурай,12,Нэг хүнийг сонгоод compliment өг.,challenge,Medium,18+,2-10,do
04-13,4,Дуурай,13,Нэг хүний first impression-ийг хэл.,challenge,Hard,18+,2-10,do
04-14,4,Дуурай,14,Нэг дуу санал болго.,challenge,Very Hard,18+,2-10,do
04-15,4,Дуурай,15,Нэг кино санал болго.,challenge,Extreme,18+,2-10,do
04-16,4,Дуурай,16,Нэг хоол сонгоод тайлбарла.,challenge,Easy,18+,2-10,do
04-17,4,Дуурай,17,Нэг hobby туршиж үзмээр байгаагаа хэл.,challenge,Medium,18+,2-10,do
04-18,4,Дуурай,18,Мөнгө авбал хамгийн түрүүнд юу хийх вэ?,challenge,Hard,18+,2-10,do
04-19,4,Дуурай,19,Ямар хүнтэй амархан найзлах вэ?,challenge,Very Hard,18+,2-10,do
04-20,4,Дуурай,20,Ямар зан хамгийн их turn-off вэ?,challenge,Extreme,18+,2-10,do
04-21,4,Дуурай,21,Ямар зан хамгийн их татдаг вэ?,challenge,Easy,18+,2-10,do
04-22,4,Дуурай,22,Өнгөрсөнд очвол юу өөрчлөх вэ?,challenge,Medium,18+,2-10,do
04-23,4,Дуурай,23,Ирээдүйгээ харвал юу мэдмээр байна?,challenge,Hard,18+,2-10,do
04-24,4,Дуурай,24,Хэнтэй road trip хийх вэ?,challenge,Very Hard,18+,2-10,do
04-25,4,Дуурай,25,Хэнтэй удаан ярилцмаар байна?,challenge,Extreme,18+,2-10,do
04-26,4,Дуурай,26,Өөрийгөө 3 үгээр тодорхойл.,challenge,Easy,18+,2-10,do
04-27,4,Дуурай,27,Өнөөдрийн mood-оо 3 emoji-оор хэл.,challenge,Medium,18+,2-10,do
04-28,4,Дуурай,28,Эндээс хэнийг илүү танимаар байна?,challenge,Hard,18+,2-10,do
04-29,4,Дуурай,29,Нэг асуулт өөрөө зохио.,challenge,Very Hard,18+,2-10,do
04-30,4,Дуурай,30,Тухгүй байвал PASS хийж болно.,challenge,Extreme,18+,2-10,do
05-01,5,Инээд барь,1,Өөрийн хамгийн том мөрөөдлөө хэл.,challenge,Easy,18+,2-10,do
05-02,5,Инээд барь,2,Өөрийн нэг green flag-аа хэл.,challenge,Medium,18+,2-10,do
05-03,5,Инээд барь,3,Өөрийн нэг red flag-аа хэл.,challenge,Hard,18+,2-10,do
05-04,5,Инээд барь,4,Сүүлд хэзээ үнэхээр баярласан бэ?,challenge,Very Hard,18+,2-10,do
05-05,5,Инээд барь,5,Хэнээс message ирэхийг хүлээдэг вэ?,challenge,Extreme,18+,2-10,do
05-06,5,Инээд барь,6,Perfect weekend-ээ тайлбарла.,challenge,Easy,18+,2-10,do
05-07,5,Инээд барь,7,Dream destination-оо хэл.,challenge,Medium,18+,2-10,do
05-08,5,Инээд барь,8,Хамгийн их хүндэлдэг чанараа хэл.,challenge,Hard,18+,2-10,do
05-09,5,Инээд барь,9,Хамгийн муу зуршлаа хэл.,challenge,Very Hard,18+,2-10,do
05-10,5,Инээд барь,10,Хамгийн сайн чанараа хэл.,challenge,Extreme,18+,2-10,do
05-11,5,Инээд барь,11,5 жилийн дараах өөрийгөө төсөөл.,challenge,Easy,18+,2-10,do
05-12,5,Инээд барь,12,Нэг хүнийг сонгоод compliment өг.,challenge,Medium,18+,2-10,do
05-13,5,Инээд барь,13,Нэг хүний first impression-ийг хэл.,challenge,Hard,18+,2-10,do
05-14,5,Инээд барь,14,Нэг дуу санал болго.,challenge,Very Hard,18+,2-10,do
05-15,5,Инээд барь,15,Нэг кино санал болго.,challenge,Extreme,18+,2-10,do
05-16,5,Инээд барь,16,Нэг хоол сонгоод тайлбарла.,challenge,Easy,18+,2-10,do
05-17,5,Инээд барь,17,Нэг hobby туршиж үзмээр байгаагаа хэл.,challenge,Medium,18+,2-10,do
05-18,5,Инээд барь,18,Мөнгө авбал хамгийн түрүүнд юу хийх вэ?,challenge,Hard,18+,2-10,do
05-19,5,Инээд барь,19,Ямар хүнтэй амархан найзлах вэ?,challenge,Very Hard,18+,2-10,do
05-20,5,Инээд барь,20,Ямар зан хамгийн их turn-off вэ?,challenge,Extreme,18+,2-10,do
05-21,5,Инээд барь,21,Ямар зан хамгийн их татдаг вэ?,challenge,Easy,18+,2-10,do
05-22,5,Инээд барь,22,Өнгөрсөнд очвол юу өөрчлөх вэ?,challenge,Medium,18+,2-10,do
05-23,5,Инээд барь,23,Ирээдүйгээ харвал юу мэдмээр байна?,challenge,Hard,18+,2-10,do
05-24,5,Инээд барь,24,Хэнтэй road trip хийх вэ?,challenge,Very Hard,18+,2-10,do
05-25,5,Инээд барь,25,Хэнтэй удаан ярилцмаар байна?,challenge,Extreme,18+,2-10,do
05-26,5,Инээд барь,26,Өөрийгөө 3 үгээр тодорхойл.,challenge,Easy,18+,2-10,do
05-27,5,Инээд барь,27,Өнөөдрийн mood-оо 3 emoji-оор хэл.,challenge,Medium,18+,2-10,do
05-28,5,Инээд барь,28,Эндээс хэнийг илүү танимаар байна?,challenge,Hard,18+,2-10,do
05-29,5,Инээд барь,29,Нэг асуулт өөрөө зохио.,challenge,Very Hard,18+,2-10,do
05-30,5,Инээд барь,30,Тухгүй байвал PASS хийж болно.,challenge,Extreme,18+,2-10,do
06-01,6,Худал илрүүлэгч,1,Өөрийн хамгийн том мөрөөдлөө хэл.,question,Easy,18+,2-10,answer
06-02,6,Худал илрүүлэгч,2,Өөрийн нэг green flag-аа хэл.,question,Medium,18+,2-10,answer
06-03,6,Худал илрүүлэгч,3,Өөрийн нэг red flag-аа хэл.,question,Hard,18+,2-10,answer
06-04,6,Худал илрүүлэгч,4,Сүүлд хэзээ үнэхээр баярласан бэ?,question,Very Hard,18+,2-10,answer
06-05,6,Худал илрүүлэгч,5,Хэнээс message ирэхийг хүлээдэг вэ?,question,Extreme,18+,2-10,answer
06-06,6,Худал илрүүлэгч,6,Perfect weekend-ээ тайлбарла.,question,Easy,18+,2-10,answer
06-07,6,Худал илрүүлэгч,7,Dream destination-оо хэл.,question,Medium,18+,2-10,answer
06-08,6,Худал илрүүлэгч,8,Хамгийн их хүндэлдэг чанараа хэл.,question,Hard,18+,2-10,answer
06-09,6,Худал илрүүлэгч,9,Хамгийн муу зуршлаа хэл.,question,Very Hard,18+,2-10,answer
06-10,6,Худал илрүүлэгч,10,Хамгийн сайн чанараа хэл.,question,Extreme,18+,2-10,answer
06-11,6,Худал илрүүлэгч,11,5 жилийн дараах өөрийгөө төсөөл.,question,Easy,18+,2-10,answer
06-12,6,Худал илрүүлэгч,12,Нэг хүнийг сонгоод compliment өг.,question,Medium,18+,2-10,answer
06-13,6,Худал илрүүлэгч,13,Нэг хүний first impression-ийг хэл.,question,Hard,18+,2-10,answer
06-14,6,Худал илрүүлэгч,14,Нэг дуу санал болго.,question,Very Hard,18+,2-10,answer
06-15,6,Худал илрүүлэгч,15,Нэг кино санал болго.,question,Extreme,18+,2-10,answer
06-16,6,Худал илрүүлэгч,16,Нэг хоол сонгоод тайлбарла.,question,Easy,18+,2-10,answer
06-17,6,Худал илрүүлэгч,17,Нэг hobby туршиж үзмээр байгаагаа хэл.,question,Medium,18+,2-10,answer
06-18,6,Худал илрүүлэгч,18,Мөнгө авбал хамгийн түрүүнд юу хийх вэ?,question,Hard,18+,2-10,answer
06-19,6,Худал илрүүлэгч,19,Ямар хүнтэй амархан найзлах вэ?,question,Very Hard,18+,2-10,answer
06-20,6,Худал илрүүлэгч,20,Ямар зан хамгийн их turn-off вэ?,question,Extreme,18+,2-10,answer
06-21,6,Худал илрүүлэгч,21,Ямар зан хамгийн их татдаг вэ?,question,Easy,18+,2-10,answer
06-22,6,Худал илрүүлэгч,22,Өнгөрсөнд очвол юу өөрчлөх вэ?,question,Medium,18+,2-10,answer
06-23,6,Худал илрүүлэгч,23,Ирээдүйгээ харвал юу мэдмээр байна?,question,Hard,18+,2-10,answer
06-24,6,Худал илрүүлэгч,24,Хэнтэй road trip хийх вэ?,question,Very Hard,18+,2-10,answer
06-25,6,Худал илрүүлэгч,25,Хэнтэй удаан ярилцмаар байна?,question,Extreme,18+,2-10,answer
06-26,6,Худал илрүүлэгч,26,Өөрийгөө 3 үгээр тодорхойл.,question,Easy,18+,2-10,answer
06-27,6,Худал илрүүлэгч,27,Өнөөдрийн mood-оо 3 emoji-оор хэл.,question,Medium,18+,2-10,answer
06-28,6,Худал илрүүлэгч,28,Эндээс хэнийг илүү танимаар байна?,question,Hard,18+,2-10,answer
06-29,6,Худал илрүүлэгч,29,Нэг асуулт өөрөө зохио.,question,Very Hard,18+,2-10,answer
06-30,6,Худал илрүүлэгч,30,Тухгүй байвал PASS хийж болно.,question,Extreme,18+,2-10,answer
07-01,7,5 секунд,1,5 секундэд 3 машин нэрлэ.,question,Easy,18+,2-10,answer
07-02,7,5 секунд,2,5 секундэд 3 celebrity нэрлэ.,question,Medium,18+,2-10,answer
07-03,7,5 секунд,3,5 секундэд 3 дуу нэрлэ.,question,Hard,18+,2-10,answer
07-04,7,5 секунд,4,5 секундэд 3 хот нэрлэ.,question,Very Hard,18+,2-10,answer
07-05,7,5 секунд,5,5 секундэд 3 кино нэрлэ.,question,Extreme,18+,2-10,answer
07-06,7,5 секунд,6,5 секундэд 3 амьтан нэрлэ.,question,Easy,18+,2-10,answer
07-07,7,5 секунд,7,5 секундэд 3 брэнд нэрлэ.,question,Medium,18+,2-10,answer
07-08,7,5 секунд,8,5 секундэд 3 спорт нэрлэ.,question,Hard,18+,2-10,answer
07-09,7,5 секунд,9,5 секундэд 3 жимс нэрлэ.,question,Very Hard,18+,2-10,answer
07-10,7,5 секунд,10,5 секундэд 3 өнгө нэрлэ.,question,Extreme,18+,2-10,answer
07-11,7,5 секунд,11,5 секундэд 3 app нэрлэ.,question,Easy,18+,2-10,answer
07-12,7,5 секунд,12,5 секундэд 3 хоол нэрлэ.,question,Medium,18+,2-10,answer
07-13,7,5 секунд,13,5 секундэд 3 аяллын газар нэрлэ.,question,Hard,18+,2-10,answer
07-14,7,5 секунд,14,5 секундэд 3 мэргэжил нэрлэ.,question,Very Hard,18+,2-10,answer
07-15,7,5 секунд,15,5 секундэд 3 hobby нэрлэ.,question,Extreme,18+,2-10,answer
07-16,7,5 секунд,16,5 секундэд 3 green flag нэрлэ.,question,Easy,18+,2-10,answer
07-17,7,5 секунд,17,5 секундэд 3 red flag нэрлэ.,question,Medium,18+,2-10,answer
07-18,7,5 секунд,18,5 секундэд 3 movie нэрлэ.,question,Hard,18+,2-10,answer
07-19,7,5 секунд,19,5 секундэд 3 game нэрлэ.,question,Very Hard,18+,2-10,answer
07-20,7,5 секунд,20,5 секундэд 3 хувцас нэрлэ.,question,Extreme,18+,2-10,answer
07-21,7,5 секунд,21,5 секундэд 3 ундаа нэрлэ.,question,Easy,18+,2-10,answer
07-22,7,5 секунд,22,5 секундэд 3 Монгол нэр нэрлэ.,question,Medium,18+,2-10,answer
07-23,7,5 секунд,23,5 секундэд 3 гадаад нэр нэрлэ.,question,Hard,18+,2-10,answer
07-24,7,5 секунд,24,5 секундэд 3 superhero нэрлэ.,question,Very Hard,18+,2-10,answer
07-25,7,5 секунд,25,5 секундэд 3 influencer нэрлэ.,question,Extreme,18+,2-10,answer
07-26,7,5 секунд,26,5 секундэд 3 restaurant нэрлэ.,question,Easy,18+,2-10,answer
07-27,7,5 секунд,27,5 секундэд 3 country нэрлэ.,question,Medium,18+,2-10,answer
07-28,7,5 секунд,28,5 секундэд 3 slang үг нэрлэ.,question,Hard,18+,2-10,answer
07-29,7,5 секунд,29,5 секундэд 3 dream destination нэрлэ.,question,Very Hard,18+,2-10,answer
07-30,7,5 секунд,30,5 секундэд 3 зүйл: perfect date-д хэрэгтэй нэрлэ.,question,Extreme,18+,2-10,answer
08-01,8,Үгийг үргэлжлүүл,1,Өөрийн хамгийн том мөрөөдлөө хэл.,question,Easy,18+,2-10,answer
08-02,8,Үгийг үргэлжлүүл,2,Өөрийн нэг green flag-аа хэл.,question,Medium,18+,2-10,answer
08-03,8,Үгийг үргэлжлүүл,3,Өөрийн нэг red flag-аа хэл.,question,Hard,18+,2-10,answer
08-04,8,Үгийг үргэлжлүүл,4,Сүүлд хэзээ үнэхээр баярласан бэ?,question,Very Hard,18+,2-10,answer
08-05,8,Үгийг үргэлжлүүл,5,Хэнээс message ирэхийг хүлээдэг вэ?,question,Extreme,18+,2-10,answer
08-06,8,Үгийг үргэлжлүүл,6,Perfect weekend-ээ тайлбарла.,question,Easy,18+,2-10,answer
08-07,8,Үгийг үргэлжлүүл,7,Dream destination-оо хэл.,question,Medium,18+,2-10,answer
08-08,8,Үгийг үргэлжлүүл,8,Хамгийн их хүндэлдэг чанараа хэл.,question,Hard,18+,2-10,answer
08-09,8,Үгийг үргэлжлүүл,9,Хамгийн муу зуршлаа хэл.,question,Very Hard,18+,2-10,answer
08-10,8,Үгийг үргэлжлүүл,10,Хамгийн сайн чанараа хэл.,question,Extreme,18+,2-10,answer
08-11,8,Үгийг үргэлжлүүл,11,5 жилийн дараах өөрийгөө төсөөл.,question,Easy,18+,2-10,answer
08-12,8,Үгийг үргэлжлүүл,12,Нэг хүнийг сонгоод compliment өг.,question,Medium,18+,2-10,answer
08-13,8,Үгийг үргэлжлүүл,13,Нэг хүний first impression-ийг хэл.,question,Hard,18+,2-10,answer
08-14,8,Үгийг үргэлжлүүл,14,Нэг дуу санал болго.,question,Very Hard,18+,2-10,answer
08-15,8,Үгийг үргэлжлүүл,15,Нэг кино санал болго.,question,Extreme,18+,2-10,answer
08-16,8,Үгийг үргэлжлүүл,16,Нэг хоол сонгоод тайлбарла.,question,Easy,18+,2-10,answer
08-17,8,Үгийг үргэлжлүүл,17,Нэг hobby туршиж үзмээр байгаагаа хэл.,question,Medium,18+,2-10,answer
08-18,8,Үгийг үргэлжлүүл,18,Мөнгө авбал хамгийн түрүүнд юу хийх вэ?,question,Hard,18+,2-10,answer
08-19,8,Үгийг үргэлжлүүл,19,Ямар хүнтэй амархан найзлах вэ?,question,Very Hard,18+,2-10,answer
08-20,8,Үгийг үргэлжлүүл,20,Ямар зан хамгийн их turn-off вэ?,question,Extreme,18+,2-10,answer
08-21,8,Үгийг үргэлжлүүл,21,Ямар зан хамгийн их татдаг вэ?,question,Easy,18+,2-10,answer
08-22,8,Үгийг үргэлжлүүл,22,Өнгөрсөнд очвол юу өөрчлөх вэ?,question,Medium,18+,2-10,answer
08-23,8,Үгийг үргэлжлүүл,23,Ирээдүйгээ харвал юу мэдмээр байна?,question,Hard,18+,2-10,answer
08-24,8,Үгийг үргэлжлүүл,24,Хэнтэй road trip хийх вэ?,question,Very Hard,18+,2-10,answer
08-25,8,Үгийг үргэлжлүүл,25,Хэнтэй удаан ярилцмаар байна?,question,Extreme,18+,2-10,answer
08-26,8,Үгийг үргэлжлүүл,26,Өөрийгөө 3 үгээр тодорхойл.,question,Easy,18+,2-10,answer
08-27,8,Үгийг үргэлжлүүл,27,Өнөөдрийн mood-оо 3 emoji-оор хэл.,question,Medium,18+,2-10,answer
08-28,8,Үгийг үргэлжлүүл,28,Эндээс хэнийг илүү танимаар байна?,question,Hard,18+,2-10,answer
08-29,8,Үгийг үргэлжлүүл,29,Нэг асуулт өөрөө зохио.,question,Very Hard,18+,2-10,answer
08-30,8,Үгийг үргэлжлүүл,30,Тухгүй байвал PASS хийж болно.,question,Extreme,18+,2-10,answer
09-01,9,Emoji таа,1,Өөрийн хамгийн том мөрөөдлөө хэл.,choice,Easy,18+,2-10,choose
09-02,9,Emoji таа,2,Өөрийн нэг green flag-аа хэл.,choice,Medium,18+,2-10,choose
09-03,9,Emoji таа,3,Өөрийн нэг red flag-аа хэл.,choice,Hard,18+,2-10,choose
09-04,9,Emoji таа,4,Сүүлд хэзээ үнэхээр баярласан бэ?,choice,Very Hard,18+,2-10,choose
09-05,9,Emoji таа,5,Хэнээс message ирэхийг хүлээдэг вэ?,choice,Extreme,18+,2-10,choose
09-06,9,Emoji таа,6,Perfect weekend-ээ тайлбарла.,choice,Easy,18+,2-10,choose
09-07,9,Emoji таа,7,Dream destination-оо хэл.,choice,Medium,18+,2-10,choose
09-08,9,Emoji таа,8,Хамгийн их хүндэлдэг чанараа хэл.,choice,Hard,18+,2-10,choose
09-09,9,Emoji таа,9,Хамгийн муу зуршлаа хэл.,choice,Very Hard,18+,2-10,choose
